src_url,vcs,name,web_url,description
https://github.com/apache/dubbo,git,apache/dubbo,http://dubbo.apache.org/,"Apache Dubbo is a high-performance, java based, open source RPC framework."
https://github.com/grpc/grpc,git,gRPC,https://grpc.io/,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)"
https://github.com/twitter/finagle,git,twitter/finagle,http://twitter.github.io/finagle,"A fault tolerant, protocol-agnostic RPC system "
https://github.com/apache/thrift,git,apache/thrift,http://thrift.apache.org/,"Thrift is a lightweight, language-independent software stack for point-to-point RPC implementation."
https://github.com/grpc/grpc-java,git,grpc/grpc-java,https://grpc.io/,"The Java gRPC implementation. HTTP/2 based RPC"
