src_url,vcs,name,web_url,description
https://github.com/protocolbuffers/protobuf,git,protocolbuffers/protobuf,https://developers.google.com/protocol-buffers/,"Protocol buffers are Google's language-neutral, platform-neutral, extensible mechanism for serializing structured data – think XML, but smaller, faster, and simpler."
https://github.com/alibaba/fastjson,git,alibaba/fastjson,https://github.com/alibaba/fastjson/wiki,"Fastjson is a Java library that can be used to convert Java Objects into their JSON representation. It can also be used to convert a JSON string to an equivalent Java object."
https://github.com/nlohmann/json,git,nlohmann/json,https://nlohmann.github.io/json/,"There are myriads of JSON libraries out there, and each may even have its reason to exist. Our class had these design goals: Intuitive syntax, Trivial integration and Serious testing."
