src_url,vcs,name,web_url,description
https://github.com/Activiti/Activiti,git,Activiti,http://www.activiti.org/,"Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people, developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java."
https://github.com/kiegroup/drools,git,Drools,http://www.drools.org/,"A rule engine, DMN engine and complex event processing (CEP) engine for Java."
https://github.com/flowable/flowable-engine,git,Flowable,https://www.flowable.org/,"A compact and highly efficient workflow and Business Process Management (BPM) platform for developers, system admins and business users."
