src_url,vcs,name,web_url,description
https://github.com/ansible/ansible,git,Ansible,https://www.ansible.com/,"Ansible is a radically simple IT automation system. It handles configuration management, application deployment, cloud provisioning, ad-hoc task execution, network automation, and multi-node orchestration."
https://github.com/hashicorp/terraform,git,hashicorp/terraform,https://www.terraform.io/,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is an open source tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned."
https://github.com/hashicorp/packer,git,hashicorp/packer,https://www.packer.io/,"Packer is a tool for building identical machine images for multiple platforms from a single source configuration." 
https://github.com/ansible/awx,git,ansible/awx,https://www.ansible.com/products/awx-project,"AWX provides a web-based user interface, REST API, and task engine built on top of Ansible."
https://github.com/chef/chef,git,chef/chef,https://www.chef.io/products/chef-infra/,"Chef Infra automates infrastructure configuration, ensuring every system is configured correctly and consistently."
https://github.com/puppetlabs/puppet,git,puppetlabs/puppet,https://puppet.com/open-source/#osp,"Puppet is the most powerful configuration management tool in the solar system. It’s the engine that drives your compliance, baseline, drift remediation, and deployment needs."
https://github.com/kubernetes/autoscaler,git,Kubernetes Autoscaler,,Autoscaling components for Kubernetes
https://github.com/hashicorp/vagrant,git,Vagrant,https://www.vagrantup.com/,"Vagrant is a tool for building and distributing development environments. Development environments managed by Vagrant can run on local virtualized platforms such as VirtualBox or VMware, in the cloud via AWS or OpenStack, or in containers such as with Docker or raw LXC."
https://github.com/ansible/ansible-examples,git,Ansible examples,http://galaxy.ansible.com/,"A few starter examples of ansible playbooks, to show features and how they work together."
